tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,
2022-06-12 14:14:48,62a58458512dfa0001d9b650,GALAX-USDT,buy,0.05774,17.31901627,0.9999999994298,0.0019999999988596,taker,USDT,market,
2022-06-12 14:14:29,62a58445b050750001f7c1fc,ATOM-USDT,buy,7.085,0.14114326,0.9999999971,0.0009999999971,taker,USDT,market,
2022-06-12 14:13:54,62a58421512dfa0001d9109b,EWT-USDT,buy,2.689,0.418,1.124002,0.001124002,taker,USDT,limit,
2022-06-12 14:09:46,62a58329e49b1200012c7cdc,VET-USDT,buy,0.0262101,39,1.0221939,0.0010221939,maker,USDT,limit,
2022-06-12 14:04:46,62a581fcb226070001138a1d,THETA-USDT,buy,1.1059,0.91,1.006369,0.001006369,maker,USDT,limit,
2022-06-12 14:04:08,62a581d8e34ff00001cddaba,GRT-USDT,buy,0.11298,9,1.01682,0.00101682,maker,USDT,limit,
2022-06-12 13:55:05,62a57f8f52468b0001197f35,NEAR-USDT,buy,3.7724,0.28,1.056272,0.001056272,maker,USDT,limit,
2022-06-12 13:54:08,62a57f49e49b120001204e44,MANA-USDT,buy,0.7755,1.3,1.00815,0.00100815,maker,USDT,limit,
2022-06-12 13:53:09,62a57f01e49b1200011f6a2e,FTT-USDT,buy,26.911,0.0163,0.4386493,0.0004386493,maker,USDT,limit,
2022-06-12 13:52:53,62a57f01e49b1200011f6a2e,FTT-USDT,buy,26.911,0.0135,0.3632985,0.0003632985,maker,USDT,limit,
2022-06-12 13:52:21,62a57f01e49b1200011f6a2e,FTT-USDT,buy,26.911,0.0102,0.2744922,0.0002744922,maker,USDT,limit,
2022-06-12 13:51:38,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0487,0.37121575,0.00037121575,maker,USDT,limit,
2022-06-12 13:51:36,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0346,0.2637385,0.0002637385,maker,USDT,limit,
2022-06-12 13:51:33,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0487,0.37121575,0.00037121575,maker,USDT,limit,
